electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.032,0.003,0.046,27.291,0.049
0.128,0.012,0.138,28.831,0.15000000000000002
0.279,0.052000000000000005,0.262,30.69,0.314
0.48,0.197,0.352,32.453,0.5489999999999999
0.5670000000000001,0.28200000000000003,0.382,33.674,0.664
0.546,0.227,0.41000000000000003,34.258,0.637
0.531,0.216,0.404,34.647,0.62
0.47900000000000004,0.187,0.368,34.841,0.5549999999999999
0.381,0.131,0.307,34.717,0.438
0.249,0.067,0.218,34.143,0.28500000000000003
0.105,0.021,0.108,33.108,0.129
0.003,0.001,0.011,31.711,0.012
0.0,0.0,0.0,30.752,0.0
0.0,0.0,0.0,30.098,0.0
0.0,0.0,0.0,29.568,0.0
0.0,0.0,0.0,29.111,0.0
0.0,0.0,0.0,28.677,0.0
0.0,0.0,0.0,28.219,0.0
0.0,0.0,0.0,27.843,0.0
0.0,0.0,0.0,27.54,0.0
0.0,0.0,0.0,27.276,0.0
0.0,0.0,0.0,26.933,0.0
0.0,0.0,0.0,26.665,0.0
0.0,0.0,0.002,26.512,0.002
0.054,0.008,0.064,27.094,0.07200000000000001
0.20500000000000002,0.054,0.178,28.646,0.23199999999999998
0.459,0.291,0.229,30.82,0.52
0.656,0.586,0.192,32.758,0.778
0.728,0.681,0.20600000000000002,34.117,0.887
0.707,0.606,0.255,34.876,0.861
0.677,0.552,0.267,35.362,0.8190000000000001
0.607,0.457,0.268,35.633,0.7250000000000001
0.387,0.16,0.28400000000000003,35.08,0.44400000000000006
0.263,0.089,0.212,34.505,0.301
0.10200000000000001,0.022,0.10400000000000001,33.603,0.126
0.003,0.001,0.01,32.485,0.011
0.0,0.0,0.0,31.491,0.0
0.0,0.0,0.0,30.781,0.0
0.0,0.0,0.0,30.08,0.0
0.0,0.0,0.0,29.411,0.0
0.0,0.0,0.0,28.861,0.0
0.0,0.0,0.0,28.403,0.0
0.0,0.0,0.0,27.981,0.0
0.0,0.0,0.0,27.777,0.0
0.0,0.0,0.0,27.687,0.0
0.0,0.0,0.0,27.462,0.0
0.0,0.0,0.0,27.183,0.0
0.0,0.0,0.001,26.949,0.001
0.03,0.002,0.043000000000000003,27.243,0.045000000000000005
0.161,0.024,0.161,28.398,0.185
0.362,0.125,0.279,30.041,0.404
0.47300000000000003,0.198,0.339,31.217,0.537
0.532,0.234,0.379,32.099,0.613
0.586,0.308,0.378,33.058,0.6859999999999999
0.657,0.47100000000000003,0.316,34.166,0.787
0.552,0.337,0.31,34.556,0.647
0.507,0.355,0.23500000000000001,34.873,0.59
0.34500000000000003,0.20700000000000002,0.188,34.631,0.395
0.152,0.066,0.114,33.908,0.18
0.007,0.003,0.014,32.094,0.017
0.0,0.0,0.0,31.151,0.0
0.0,0.0,0.0,30.551,0.0
0.0,0.0,0.0,30.028,0.0
0.0,0.0,0.0,29.553,0.0
0.0,0.0,0.0,29.038,0.0
0.0,0.0,0.0,28.339,0.0
0.0,0.0,0.0,27.846,0.0
0.0,0.0,0.0,27.583,0.0
0.0,0.0,0.0,27.35,0.0
0.0,0.0,0.0,26.986,0.0
0.0,0.0,0.0,26.686,0.0
0.0,0.0,0.002,26.373,0.002
0.067,0.013000000000000001,0.07200000000000001,27.563,0.085
0.222,0.066,0.184,29.556,0.25
0.356,0.129,0.271,31.265,0.4
0.456,0.188,0.333,32.6,0.521
0.558,0.292,0.359,33.828,0.651
0.623,0.4,0.343,34.871,0.7430000000000001
0.653,0.49,0.297,35.664,0.7869999999999999
0.602,0.457,0.262,36.062,0.7190000000000001
0.517,0.395,0.212,36.093,0.607
0.367,0.253,0.169,35.615,0.42200000000000004
0.153,0.07,0.112,34.509,0.182
0.006,0.003,0.014,32.347,0.017
0.0,0.0,0.0,30.84,0.0
0.0,0.0,0.0,30.283,0.0
0.0,0.0,0.0,29.895,0.0
0.0,0.0,0.0,29.401,0.0
0.0,0.0,0.0,28.642,0.0
0.0,0.0,0.0,27.509,0.0
0.0,0.0,0.0,26.505,0.0
0.0,0.0,0.0,25.707,0.0
0.0,0.0,0.0,25.048,0.0
0.0,0.0,0.0,24.558,0.0
0.0,0.0,0.0,24.116,0.0
0.0,0.001,0.004,23.708,0.005
0.14400000000000002,0.091,0.074,25.839,0.16499999999999998
0.381,0.314,0.109,28.663,0.423
0.522,0.444,0.153,30.849,0.597
0.661,0.617,0.169,32.817,0.786
0.653,0.522,0.258,34.048,0.78
0.545,0.28500000000000003,0.352,34.443,0.637
0.623,0.449,0.295,35.352,0.744
0.65,0.591,0.194,36.198,0.7849999999999999
0.579,0.552,0.138,36.518,0.6900000000000001
0.40800000000000003,0.353,0.11900000000000001,36.124,0.472
0.188,0.129,0.091,35.085,0.22
0.009000000000000001,0.006,0.015,31.928,0.020999999999999998
0.0,0.0,0.0,30.013,0.0
0.0,0.0,0.0,29.2,0.0
0.0,0.0,0.0,28.521,0.0
0.0,0.0,0.0,27.832,0.0
0.0,0.0,0.0,27.051,0.0
0.0,0.0,0.0,26.163,0.0
0.0,0.0,0.0,25.362,0.0
0.0,0.0,0.0,24.829,0.0
0.0,0.0,0.0,24.504,0.0
0.0,0.0,0.0,24.148,0.0
0.0,0.0,0.0,23.781,0.0
0.0,0.001,0.004,23.507,0.005
0.163,0.122,0.062,25.501,0.184
0.403,0.367,0.081,28.634,0.448
0.595,0.604,0.08700000000000001,31.254,0.691
0.729,0.792,0.091,33.324,0.883
0.807,0.916,0.095,34.966,1.0110000000000001
0.834,0.967,0.096,36.199,1.063
0.811,0.937,0.095,37.012,1.032
0.741,0.833,0.092,37.412,0.9249999999999999
0.621,0.664,0.08600000000000001,37.343,0.75
0.444,0.439,0.079,36.782,0.518
0.215,0.184,0.067,35.657,0.251
0.013000000000000001,0.011,0.014,32.749,0.025
0.0,0.0,0.0,31.867,0.0
0.0,0.0,0.0,31.025,0.0
0.0,0.0,0.0,29.764,0.0
0.0,0.0,0.0,28.617,0.0
0.0,0.0,0.0,27.667,0.0
0.0,0.0,0.0,26.728,0.0
0.0,0.0,0.0,25.879,0.0
0.0,0.0,0.0,25.141,0.0
0.0,0.0,0.0,24.426,0.0
0.0,0.0,0.0,23.784,0.0
0.0,0.0,0.0,23.224,0.0
0.0,0.001,0.004,22.787,0.005
0.149,0.099,0.07100000000000001,25.177,0.17
0.379,0.318,0.10300000000000001,28.59,0.42100000000000004
0.5660000000000001,0.538,0.115,31.515,0.653
0.7000000000000001,0.724,0.12,33.761,0.844
0.781,0.854,0.122,35.543,0.976
0.798,0.88,0.13,36.76,1.01
0.776,0.848,0.132,37.478,0.98
0.6980000000000001,0.726,0.137,37.664,0.863
0.539,0.47900000000000004,0.16,37.269,0.639
0.359,0.263,0.152,36.525,0.41500000000000004
0.155,0.082,0.10300000000000001,35.385,0.185
0.008,0.005,0.014,32.658,0.019
0.0,0.0,0.0,31.333,0.0
0.0,0.0,0.0,31.006,0.0
0.0,0.0,0.0,30.526,0.0
0.0,0.0,0.0,29.982,0.0
0.0,0.0,0.0,29.621,0.0
0.0,0.0,0.0,29.393,0.0
0.0,0.0,0.0,29.229,0.0
0.0,0.0,0.0,28.654,0.0
0.0,0.0,0.0,27.841,0.0
0.0,0.0,0.0,27.397,0.0
0.0,0.0,0.0,27.17,0.0
0.0,0.0,0.002,27.02,0.002
0.045,0.005,0.058,27.635,0.063
0.13,0.013000000000000001,0.138,28.068,0.15100000000000002
0.251,0.036000000000000004,0.244,28.583,0.28
0.326,0.053,0.311,29.276,0.364
0.423,0.098,0.378,30.273,0.476
0.562,0.258,0.392,31.804,0.65
0.746,0.684,0.227,33.831,0.911
0.6950000000000001,0.659,0.184,34.948,0.843
0.56,0.481,0.179,35.236,0.6599999999999999
0.39,0.295,0.154,35.077,0.44899999999999995
0.184,0.11,0.105,34.399,0.215
0.008,0.004,0.015,32.422,0.019
0.0,0.0,0.0,31.109,0.0
0.0,0.0,0.0,30.732,0.0
0.0,0.0,0.0,30.173,0.0
0.0,0.0,0.0,29.785,0.0
0.0,0.0,0.0,29.443,0.0
0.0,0.0,0.0,28.952,0.0
0.0,0.0,0.0,28.457,0.0
0.0,0.0,0.0,27.856,0.0
0.0,0.0,0.0,27.148,0.0
0.0,0.0,0.0,26.414,0.0
0.0,0.0,0.0,25.875,0.0
0.0,0.0,0.001,25.554,0.001
0.046,0.005,0.058,25.833,0.063
0.21,0.05,0.184,27.4,0.23399999999999999
0.374,0.145,0.272,29.538,0.41700000000000004
0.577,0.389,0.279,31.629,0.668
0.704,0.589,0.259,33.431,0.848
0.592,0.329,0.369,34.034,0.698
