electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_total
0.0,0.0,0.0,25.656,0.0
0.0,0.0,0.0,25.325,0.0
0.0,0.0,0.0,25.056,0.0
0.0,0.0,0.0,24.839,0.0
0.0,0.0,0.0,24.612,0.0
0.0,0.0,0.0,24.375,0.0
0.0,0.0,0.0,24.134,0.0
0.0,0.0,0.0,23.948,0.0
0.0,0.0,0.0,23.826,0.0
0.011,0.0,0.022,24.083,0.022
0.137,0.035,0.123,25.619,0.158
0.335,0.182,0.187,27.434,0.369
0.514,0.388,0.194,29.452,0.5820000000000001
0.634,0.543,0.199,31.326,0.742
0.7000000000000001,0.636,0.20400000000000001,32.826,0.8400000000000001
0.713,0.654,0.20800000000000002,33.85,0.8620000000000001
0.679,0.611,0.20700000000000002,34.424,0.8180000000000001
0.597,0.507,0.199,34.555,0.706
0.47500000000000003,0.371,0.178,34.212,0.5489999999999999
0.304,0.191,0.154,33.325,0.345
0.114,0.043000000000000003,0.095,31.75,0.138
0.002,0.0,0.009000000000000001,29.147,0.009000000000000001
0.0,0.0,0.0,27.63,0.0
0.0,0.0,0.0,26.634,0.0
0.0,0.0,0.0,26.019,0.0
0.0,0.0,0.0,25.58,0.0
0.0,0.0,0.0,25.208,0.0
0.0,0.0,0.0,24.823,0.0
0.0,0.0,0.0,24.425,0.0
0.0,0.0,0.0,24.142,0.0
0.0,0.0,0.0,23.928,0.0
0.0,0.0,0.0,23.91,0.0
0.0,0.0,0.0,23.898,0.0
0.012,0.0,0.024,24.293,0.024
0.166,0.084,0.10400000000000001,26.125,0.188
0.397,0.334,0.106,28.258,0.44
0.583,0.5700000000000001,0.10200000000000001,30.539,0.672
0.7020000000000001,0.735,0.106,32.575,0.841
0.767,0.834,0.111,34.097,0.945
0.779,0.854,0.115,35.015,0.969
0.742,0.798,0.117,35.427,0.915
0.658,0.678,0.115,35.341,0.793
0.519,0.493,0.113,34.705,0.606
0.328,0.26,0.113,33.422,0.373
0.124,0.065,0.083,31.543,0.14800000000000002
0.002,0.0,0.009000000000000001,29.18,0.009000000000000001
0.0,0.0,0.0,27.556,0.0
0.0,0.0,0.0,26.604,0.0
0.0,0.0,0.0,26.046,0.0
0.0,0.0,0.0,25.653,0.0
0.0,0.0,0.0,25.31,0.0
0.0,0.0,0.0,24.979,0.0
0.0,0.0,0.0,24.685,0.0
0.0,0.0,0.0,24.465,0.0
0.0,0.0,0.0,24.325,0.0
0.0,0.0,0.0,24.219,0.0
0.0,0.0,0.0,24.074,0.0
0.012,0.0,0.024,24.317,0.024
0.168,0.084,0.106,26.027,0.19
0.393,0.32,0.115,28.148,0.435
0.5700000000000001,0.537,0.11800000000000001,30.522,0.655
0.6900000000000001,0.7020000000000001,0.123,32.671,0.8250000000000001
0.755,0.802,0.126,34.25,0.928
0.768,0.8230000000000001,0.13,35.271,0.9530000000000001
0.726,0.755,0.137,35.733,0.892
0.635,0.622,0.14100000000000001,35.645,0.763
0.493,0.428,0.145,34.984,0.573
0.312,0.218,0.137,33.721,0.355
0.111,0.042,0.093,31.749,0.135
0.001,0.0,0.008,29.332,0.008
0.0,0.0,0.0,27.64,0.0
0.0,0.0,0.0,26.72,0.0
0.0,0.0,0.0,26.255,0.0
0.0,0.0,0.0,25.919,0.0
0.0,0.0,0.0,25.579,0.0
0.0,0.0,0.0,25.194,0.0
0.0,0.0,0.0,24.804,0.0
0.0,0.0,0.0,24.562,0.0
0.0,0.0,0.0,24.512,0.0
0.0,0.0,0.0,24.411,0.0
0.0,0.0,0.0,24.253,0.0
0.012,0.0,0.023,24.435,0.023
0.159,0.069,0.112,26.023,0.181
0.384,0.301,0.124,27.975,0.425
0.5710000000000001,0.536,0.11800000000000001,30.088,0.654
0.6930000000000001,0.705,0.121,32.019,0.826
0.76,0.805,0.124,33.482,0.929
0.777,0.837,0.125,34.322,0.962
0.736,0.769,0.131,34.509,0.9
0.65,0.648,0.129,34.249,0.777
0.517,0.47700000000000004,0.122,33.544,0.599
0.337,0.271,0.11,32.359,0.381
0.129,0.07,0.082,30.607,0.15200000000000002
0.001,0.0,0.008,28.459,0.008
0.0,0.0,0.0,27.014,0.0
0.0,0.0,0.0,26.177,0.0
0.0,0.0,0.0,25.709,0.0
0.0,0.0,0.0,25.401,0.0
0.0,0.0,0.0,25.132,0.0
0.0,0.0,0.0,24.909,0.0
0.0,0.0,0.0,24.731,0.0
0.0,0.0,0.0,24.587,0.0
0.0,0.0,0.0,24.47,0.0
0.0,0.0,0.0,24.346,0.0
0.0,0.0,0.0,24.22,0.0
0.011,0.0,0.023,24.311,0.023
