Site_name,County,Institution,"HT (kg 1,4-DCBeq/kWh)",CC (kg CO2eq/kWh),MD (kg Fe eq/kWh),"FE (kg 1,4-DCBeq/kWh)","ME (kg 1,4-DCBeq/kWh)",TA (kg SO2eq/kWh),PMF (kg PM10eq/kWh),"TE (kg 1,4-DCBeq/kWh)"
Mbulia_Dispensary,Taita_Taveta,Clinic,1.286108043,0.914487585,0.417103659,0.184792265,0.170336853,0.006457526,0.002931578,0.001587706
Mchinjirini_Primary_School,Kwale,School,0.391388498,0.238011835,0.133983631,0.057952674,0.053103903,0.001932588,0.000839144,0.000382156
Melikubwa_Primary_School,Kwale,School,0.747584636,0.454622432,0.255919897,0.110694435,0.101432878,0.003691405,0.001602835,0.00072995
Merti_Muslim_Primary_School,Isiolo,School,0.789366329,0.530143116,0.268571974,0.115416869,0.10584526,0.004045007,0.001768853,0.000774683
Mgange_Dawida_Health_centre,Taita_Taveta,Clinic,0.563335645,0.400560012,0.182697993,0.080941932,0.074610233,0.002828498,0.001284077,0.00069544
Mgange_Nyika_health_centre,Taita_Taveta,Clinic,0.892775348,0.634808232,0.28954011,0.12827692,0.118242432,0.004482609,0.002035008,0.001102135
Mikameni_Primary_School,Kwale,School,0.480363753,0.292119618,0.164442441,0.07112719,0.065176136,0.002371928,0.001029909,0.000469033
Mitangani_Primary_School,Kilifi,School,1.774331702,1.091460951,0.606994963,0.262360495,0.240430513,0.008797849,0.003823192,0.001733456
Mitangoni_Primary_School,Kilifi,School,0.637738278,0.392297802,0.218168859,0.094298789,0.086416616,0.003162162,0.001374149,0.000623047
Mitulani_Primary_School,Kilifi,School,0.679291225,0.417858648,0.23238403,0.10044299,0.092047241,0.003368199,0.001463684,0.000663642
Mitunguni_Primary_School,Kwale,School,1.432115882,0.870900731,0.49025479,0.21205259,0.194310622,0.007071466,0.003070483,0.001398335
Mkuluni_Primary_School,Kilifi,School,0.446885307,0.274896662,0.152878478,0.066078428,0.060555117,0.002215837,0.000962914,0.00043659
Mlilo_Primary_School,Taita_Taveta,School,0.896878546,0.554180188,0.30673863,0.132544095,0.12146931,0.004454359,0.0019363,0.000876411
Mlola_Primary_School,Kwale,School,0.895769112,0.544736627,0.306647739,0.132636026,0.121538666,0.004423106,0.001920546,0.000874639
Mogore_Primary_School,Isiolo,School,1.984270329,1.332647742,0.675123043,0.290129259,0.266068619,0.01016814,0.004446455,0.00194736
Mrima_Wa_Kuku_Primary_School,Kilifi,School,0.943744386,0.580534149,0.322852874,0.139546199,0.127881921,0.004679463,0.002033507,0.000922003
Mtsamviani_Secondary_School,Kwale,School,0.252522946,0.153564681,0.086445926,0.03739093,0.034262514,0.001246901,0.000541414,0.000246566
Mtsangatamu_Primary_School,Kwale,School,0.677519185,0.412014112,0.231934461,0.100319883,0.091926342,0.003345437,0.001452614,0.000661538
Mtumwa_Dispensary,Kwale,Clinic,0.38420027,0.271048334,0.124662865,0.055264738,0.050938067,0.00192264,0.000872479,0.000474289
Muchuro_Primary_School,Isiolo,School,3.873331674,2.601352564,1.317852426,0.566337576,0.519370771,0.019848394,0.008679561,0.003801282
Mugumoni_Primary_School,Kilifi,School,1.280201196,0.787501916,0.437954006,0.189296184,0.173473443,0.006347751,0.002758478,0.001250709
Muhumkulu_Primary_School,Kilifi,School,0.368469849,0.226660241,0.126052723,0.054483574,0.049929444,0.001827021,0.00079395,0.000359981
