Site_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Institution
Dera_Tumaini_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006270221057981284,0.00953540202964615,0.09437123560631949,0.4060598813042969,0.5340147919079955,0.5295976603098514,0.4707508010979968,0.36770242084911725,0.23051511066767086,0.07571304146264782,0.0,0.0,0.0,0.0,0.0,0.0,School
Dighai_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009106767284126368,0.11066168106732031,0.4039854571956802,0.5515260728431528,0.5749080628637049,0.5509941048070693,0.4814896476854573,0.3713464001377437,0.229232205831778,0.0714132503813405,0.0,0.0,0.0,0.0,0.0,0.0,School
Dzendereni_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007270387012595162,0.026070205488844492,0.08023932789147864,0.29735598822339565,0.4651380883884271,0.5190431337932452,0.5039846484361438,0.44423437272583144,0.34124492190458244,0.2013734339275765,0.04898196771518588,0.0,0.0,0.0,0.0,0.0,0.0,School
Dzombo_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015944431154647548,0.12883296280938428,0.3794690497866888,0.48981167795410663,0.5527174762479097,0.5647150953937259,0.5382585164019152,0.47172794817124725,0.36745758540977197,0.2302824176338938,0.0765404232702222,0.0,0.0,0.0,0.0,0.0,0.0,School
Ekoropus_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011578782122565521,0.00967160129323199,0.0695264259729222,0.28654697819297076,0.4849476814476988,0.5469138090054345,0.5390974569793066,0.48462726082299623,0.3966526346292175,0.27308496438430235,0.11211385101541864,0.000992394147728694,0.0,0.0,0.0,0.0,0.0,School
Elsa_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00863604816092985,0.09286039155115271,0.3217069608814867,0.48181588087184907,0.567635270019278,0.5903382860754937,0.5685829673269521,0.5049594354371975,0.3990456408820709,0.2555466450964655,0.09019928766391337,7.08004132581127e-05,0.0,0.0,0.0,0.0,0.0,School
Elsa_Secondary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012593420907959526,0.19003507042164225,0.32075453423033196,0.39780119873646,0.4419624752651554,0.4517686313344879,0.4324592847741064,0.3829650173992945,0.31850265844951925,0.21137862283056852,0.07662070300271508,3.617040402294558e-06,0.0,0.0,0.0,0.0,0.0,School
Emejen_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.251748659241242e-06,0.00266652312191297,0.012817420848737453,0.12871259199897891,0.28922142224622827,0.38431132527437945,0.3464114749129086,0.22545342956171155,0.054607740093715225,0.0,0.0,0.0,0.0,0.0,0.0,School
Fudumulo_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019972774659468855,0.024104383019959052,0.11172205439349091,0.3451905877406431,0.5304591708517773,0.5604798587600741,0.5360176222167741,0.46948594694117934,0.36384508793296155,0.22535682949983146,0.07080152759866878,0.0,0.0,0.0,0.0,0.0,0.0,School
Galmadido_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021548942465899855,0.016754292190277655,0.13373577974238954,0.3319605328117293,0.4910972996214221,0.554887169375777,0.5509932910050792,0.4894795191202982,0.38931493722295746,0.25190571833569597,0.09060016460323418,8.754271425254618e-05,0.0,0.0,0.0,0.0,0.0,School
Galukani_Primary_School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559852798343014e-06,0.09696293156641508,0.3673613687172753,0.49049925041043235,0.54570946439955,0.5521650677516393,0.5238853216759995,0.4565006975611979,0.35214284668443935,0.21652325425713542,0.06512617482212345,0.0,0.0,0.0,0.0,0.0,0.0,School
