Site_name,County,Cumu_dumped_energy,Cumu_total_energy_used,Cumu_res_supplied,Ut_rate,Institution
Elsa_Primary_School,Isiolo,21250.651938730764,3336.14248477454,26508.275254614462,12.585286868838427,School
Elsa_Secondary_School,Isiolo,17721.727658299726,6980.950661226173,26508.275254614462,26.33498631719148,School
Emejen_Primary_School,Isiolo,7907.04525944461,16800.735915964247,26508.275254614462,63.37921179175788,School
Fudumulo_Primary_School,Kilifi,17726.203811943207,5991.328764263234,25522.993247306593,23.474240290744465,School
Galmadido_Primary_School,Isiolo,18083.76699691865,6569.203213398881,26508.275254614462,24.78170741136898,School
Galukani_Primary_School,Kilifi,20076.17313390207,3655.0846191889145,25522.993247306593,14.320752208695705,School
Gamachu_Primary_School,Isiolo,19261.57948285621,5389.434279531614,26508.275254614462,20.331138966098678,School
Garbatula_Primary_Boarding,Isiolo,13641.258918853711,11194.610024554368,26508.275254614462,42.23062389774171,School
Gideon_Mosi_Primary_School,Taita_Taveta,17943.51086378197,6608.7692716076,26280.97390075118,25.146591966360514,School
Gozani_Primary_School,Kwale,14801.325593922766,8942.102885858558,25422.704409001923,35.173688613129016,School
Hawe_Wanje_Primary_School,Kilifi,14652.550511668478,9116.840740534699,25522.993247306593,35.720107952059216,School
Isiolo_Samburu_Complex_Dispensary,Isiolo,42567.32507016042,13072.081996504949,59643.61932288255,21.916983149092335,Clinic
Isiolo_Samburu_Complex_Primary_School,Isiolo,21938.037663083058,2695.0798953178955,26508.275254614462,10.166937944590515,School
Jezazhomu_Primary_School,Kilifi,14099.667199348858,9641.536391780894,25522.993247306593,37.77588427171782,School
Jitegemee_Primary_School,Kwale,15959.990814853842,7765.3841997382,25422.704409001923,30.545075279200258,School
Kaalem_Primary_School,Turkana,18814.50876408831,5347.964177453695,26031.138944136594,20.544487849458086,School
Kadunguni_Primary_School,Kilifi,21416.479085358143,2268.658740205684,25522.993247306593,8.888686049568626,School
Kajungunyi_Primary_School,Taita_Taveta,5345.451886208099,19237.09806687173,26280.97390075118,73.19781275808003,School
Kakalel_Boys_Secondary_School,Turkana,15444.886457323282,8866.752911647489,26031.138944136594,34.06210128060758,School
Kalokoda_Primary_School,Turkana,21760.189837486483,2367.949330847747,26031.138944136594,9.09660286447481,School
Kaluweni_Primary_School,Kwale,16982.128372256415,6652.966319166428,25422.704409001923,26.16938863833338,School
Kaole_Primary_School,Kilifi,15298.91707254999,8457.155493379281,25522.993247306593,33.135437569697096,School
Kapecha_Primary_School,Kilifi,13648.271927995978,10171.663613684099,25522.993247306593,39.85294167939139,School
Karyaka_Primary_School,Kwale,16720.879914576984,7043.560323597208,25422.704409001923,27.705786962236612,School
Kasimani_Primary_School,Kilifi,10953.349036799525,12946.745505365885,25522.993247306593,50.72581174127034,School
Kasuroi_Primary_School,Turkana,19107.78204250965,5083.295990725777,26031.138944136594,19.52775098175552,School
Kavunyalo_Dispensary,Kilifi,33614.01544640168,19962.358872349043,57426.73480643981,34.7614380995774,Clinic
Kawala_Girls_Secondary_School,Kilifi,16037.249582487695,7878.310589705268,25522.993247306593,30.867502543169213,School
Kawalash_Primary_School,Isiolo,20435.276000327896,4232.95086152398,26508.275254614462,15.968412961107772,School
Kibora_Primary_School,Kilifi,19306.776779712385,4433.245843907309,25522.993247306593,17.36961570671239,School
Kidomaya_Primary_School,Kwale,14565.468948287084,9226.036739242982,25422.704409001923,36.29054010467956,School
Kikonde_Primary_School,Kwale,13660.161891223455,10131.697356348202,25422.704409001923,39.85294873963397,School
Kinna_Primary_School,Isiolo,20222.126273092254,4406.71877300475,26508.275254614462,16.623936226245593,School
