Site Name,County,Institution,Annual Consumption Filled (kWh),Annual Consumption Measured (kWh)
Karyaka Primary School,Kwale,School,430.524342,417.543596
Kithengwani Primary School,Kilifi,School,124.8036196,115.316633
Bahero Primary School,Kilifi,School,423.8141758,415.291044
Kikonde Primary School,Kwale,School,613.7272393,590.850236
Dzendereni Primary School,Kwale,School,467.4535587,457.723902
Kawala Girls Secondary School,Kilifi,School,483.3466844,464.291021
Kituoni Primary School,Kwale,School,326.4273545,309.521138
Dera Tumaini Primary School,Kilifi,School,529.0789054,505.629314
Shauri Moyo Primary School,Kwale,School,137.9690436,134.239925
Kadunguni Primary School,Kilifi,School,138.7211871,132.956936
Boyani West Primary School,Kwale,School,450.2899197,433.238184
Paola Katsuhanzala Primary School,Kilifi,School,525.1827481,505.284196
Fudumulo Primary School,Kilifi,School,359.5230314,351.823521
