Site_name,County,Institution,S0_EI,S1_EI,S2_EI,S3_EI,S4_EI
Mwangani_Primary_School,Kilifi,School,236.943,251.401,204.962,168.058,136.479
Mwangaza_Primary_School,Kwale,School,773.381,418.546,386.801,266.197,266.197
Mwanza_Primary_School,Kilifi,School,759.38,410.772,381.456,263.781,263.781
Mwanzwani_Primary_School,Kwale,School,357.609,307.416,194.915,194.915,193.205
Mwele_Primary_School,Kilifi,School,726.771,393.425,365.172,252.495,252.495
Mwembe_Kati_Dispensary,Kilifi,Clinic,342.395,285.955,218.207,161.861,161.861
Nabeiye_Primary_School,Turkana,School,559.599,326.233,303.259,303.259,310.237
Nagaa_Primary_School,Isiolo,School,757.786,586.429,456.692,336.377,336.377
Nakaalei_Primary_School,Turkana,School,480.53,336.746,261.009,261.009,264.034
Nakitoekakumon_Primary_School,Turkana,School,451.068,334.793,246.742,246.742,246.742
Namakat_Primary_School,Turkana,School,906.18,308.797,308.797,308.797,308.797
Namortung_a_Boys_Secondary_School,Turkana,School,182.774,250.944,201.544,201.493,147.478
Naroo_Primary_School,Turkana,School,417.526,327.286,295.258,230.448,230.201
Ndugu_Zangu_Integrated_Primary_School,Isiolo,School,390.603,368.317,290.914,218.93,218.93
Ngoloko_Primary_School,Kilifi,School,462.634,343.28,251.966,239.749,239.749
Nyango_Primary_School,Kwale,School,432.559,303.035,234.749,234.749,235.533
Paola_Katsuhanzala_Primary_School,Kilifi,School,304.011,335.069,239.822,230.114,230.114
Pumwani_Primary_School,Kilifi,School,193.37,243.712,206.86,146.724,146.724
Sagalato_Primary_School,Kwale,School,344.804,310.757,256.247,195.96,195.96
Sagalla_Health_Centre,Taita_Taveta,Clinic,303.171,436.578,343.789,320.807,288.424
Saghaighu_dispensary,Taita_Taveta,Clinic,321.247,243.687,238.243,207.3,160.096
Salim_Mvurya_Secondary_School,Kwale,School,313.0,517.153,319.937,264.708,219.617
Sembe_Primary_School,Kwale,School,583.393,315.785,292.082,205.114,205.114
Shakahola_Dispensary,Kilifi,Clinic,316.042,245.279,208.227,155.443,157.787
Shambani_Primary_School,Isiolo,School,293.329,528.145,368.664,264.349,234.003
Shauri_Moyo_Primary_School,Kwale,School,1169.496,398.552,398.552,398.552,398.552
Silaloni_Primary_School,Kwale,School,263.708,279.747,196.257,158.073,157.524
Simanya_Primary_School,Kwale,School,365.756,329.632,215.358,203.946,203.946
Tata_Primary_School,Kwale,School,383.821,795.397,483.773,420.669,373.412
Tiwi_Boys_Secondary_school,Kwale,School,792.356,587.92,557.125,434.888,432.315
Todonyang_Primary_School,Turkana,School,519.506,385.627,364.71,284.633,284.311
Uhuru_Primary_School,Isiolo,School,602.435,447.262,328.777,328.777,320.49
Vithunguni_Primary_School,Kilifi,School,745.296,434.474,285.587,258.59,258.59
Watala_Primary_School,Kilifi,School,645.173,680.054,502.408,485.376,412.548
Werugha_Health_facility,Taita_Taveta,Clinic,260.898,321.989,275.3,254.57,241.104
Yapha_Primary_School,Kwale,School,320.533,428.077,316.261,261.736,259.284
Ziwani_Primary_School,Kilifi,School,803.239,596.233,471.562,449.643,449.643
Ziyaradundo_Primary_School,Kwale,School,245.795,270.957,193.983,187.203,187.203
